id,exercise_name,video_link,video_explanation,expereince_level,target_muscle,primary_muscle,secondary_muscle,category,laterality,exercise_classification,inserted_at,equipment
8494,Alternating Double Kettlebell Floor Press,https://youtu.be/Uf1jY-575lo?si=pKedIxKhmO0-sY6O,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8495,Single Arm Dumbbell Front Rack Ipsilateral Cossack Squat,https://youtu.be/S1-SPv3YXG8?si=QCE1ikc3-Mg60u3x,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8496,Single Arm Dumbbell Overhead Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8497,Dumbbell Crush Grip Seated Overhead Tricep Extension,https://youtu.be/o_3RHmSwIgE?si=jrBjCATOeTuvtWzq,,Beginner,Triceps,Triceps Brachii,Anterior Deltoids,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8498,Alternating Double Kettlebell Bent Over Row,https://youtu.be/jdx2kl5K0Ps?si=ABHltAh0E_8BUz7i,,Beginner,Back,Latissimus Dorsi,Rhomboids,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8499,Battle Rope Double Wave,https://youtu.be/mTZENozi5x4?si=Us7_yx5MJoQLZHhO,https://youtu.be/u5k-9NLlBZc?si=xzDDOCtbUMS1zqnK,Beginner,Biceps,Biceps Brachii,,Upper Body,Bilateral,Unsorted*,2025-08-10 01:02:45.779018+00,Battle Ropes
8500,Double Dumbbell Front Raise,https://youtu.be/67-J94MVJUg?si=TUVKne9uaJdYMy3x,,Beginner,Shoulders,Anterior Deltoids,Pectoralis Major,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8501,Double Dumbbell Incline Bench Prone Lateral Raise,https://youtu.be/e8K9KPGcwr8?si=HpsrB1akXMIU8ANX,,Beginner,Shoulders,Posterior Deltoids,,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8502,Dumbbell Crush Grip Seated Bicep Curl,https://youtu.be/xZKMteV7T6I?si=r_V-HvZTiORRBmxM,,Beginner,Biceps,Biceps Brachii,Brachialis,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8503,Double Dumbbell Incline Bench Prone Hammer Curl,https://youtu.be/P-QvV7zOHjw?si=suRdks_sCJLNPIKX,,Beginner,Biceps,Biceps Brachii,Brachialis,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8504,Single Arm Dumbbell Overhead Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8505,Dumbbell Goblet Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8506,Single Arm Clubbell Order Ipsilateral Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Clubbell
8507,Single Arm Clubbell Order Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Clubbell
8508,Single Arm Macebell Order Ipsilateral Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Macebell
8509,Single Arm Macebell Order Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Macebell
8510,Single Arm Dummbell Front Rack Foot Elevated Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Contralateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8511,Single Arm Dumbbell Front Rack Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Lower Body,Ipsilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8512,Alternating Double Dumbbell Incline Bench Prone Hammer Curl,https://youtu.be/N_eGFKGR7ZQ?si=J-4OOQpNwgwM0LrL,,Beginner,Biceps,Biceps Brachii,Brachialis,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8513,Single Arm Dumbbell Incline Bench Press,https://youtu.be/1RdiI_ta3CY?si=ELtb0jc2iPVUiqNN,https://youtu.be/QPi2iPxIOMU?si=njIA2IAXw562aiYL,Beginner,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8514,Single Arm Dumbbell Decline Bench Press,https://youtu.be/SisxAKThq70?si=tJqclsa9iiqndA6R,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8515,Single Arm Kettlebell Bottoms Up Copenhagen Plank,https://youtu.be/l2Hu2D3z84w?si=H3JslwI5uQK49RTu,https://youtu.be/ggPSnMVIQ08?si=7hv_e4CLgcwRPbWh,Intermediate,Adductors,Adductor Magnus,,Lower Body,Unilateral,Unsorted*,2025-08-10 01:02:45.779018+00,Kettlebell
8516,Double Dumbbell Floor Press,https://youtu.be/3u2DR9HL0tY?si=3Bcig3xQ4BI89qLa,https://youtu.be/Zt1s1YhZ8Ag?si=VdqFI6Yr9LCxrUfE,Beginner,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8517,Double Kettlebell Bottoms Up Glute Bridge Isometric Bench Press,,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Full Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8518,Alternating Double Dumbbell Floor Press,https://youtu.be/hyb1jJ98ORU?si=UKrLCDD8rhcoKu0p,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8519,Kettlebell Seated Single Leg Tibialis Raise,https://youtu.be/kIRvGGD21Zw?si=nBLhNjFMITgsl7fd,,Novice,Shins,Tibialis Anterior,Extensor Digitorum Longus,Lower Body,Unilateral,Unsorted*,2025-08-10 01:02:45.779018+00,Kettlebell
8520,Double Kettlebell Seated Calf Raise,,https://youtu.be/uki30vzaltY?si=sWNIzvhqvIBU2krb,Beginner,Calves,Soleus,Gastrocnemius,Lower Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8521,Double Kettlebell Seated Feet Elevated Calf Raise,https://youtu.be/trgsU9LSHcM?si=LkOOKLtsyEAMWIWJ,https://youtu.be/jQOQsYSYPiY?si=ZEW3fQfh2Xy1BX0H,Beginner,Calves,Soleus,Gastrocnemius,Lower Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8522,Alternating Double Dumbbell Thruster,https://youtu.be/NDA72gV21vM?si=nr1ibCzWJfLIYTXz,,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,Full Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8523,Single Arm Dumbbell Floor Press,https://youtu.be/0S0pPgQXWNk?si=sd5taBTsE1Qux9Er,https://youtu.be/yDoBD0EAd90?si=4PQFvzpTeE2_ofzS,Beginner,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8524,Single Arm Macebell Inside Circle,,https://youtu.be/MSt1cYAiLzI?si=tzz_-RCN5C_q8Zk5,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Full Body,Unilateral,Ballistics,2025-08-10 01:02:45.779018+00,Macebell
8525,Single Arm Macebell Outside Circle,,https://youtu.be/ZuaKcM41dP4?si=jhfiB9Rsa8B6eQv2,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Full Body,Unilateral,Ballistics,2025-08-10 01:02:45.779018+00,Macebell
8526,Single Arm Macebell Inside Circle to Outside Circle,,https://youtu.be/XWIFyifqSr8?si=VCcBN4FzzFmcTjSf,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Full Body,Unilateral,Ballistics,2025-08-10 01:02:45.779018+00,Macebell
8527,Macebell Inside Circle,,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Full Body,Bilateral,Ballistics,2025-08-10 01:02:45.779018+00,Macebell
8528,Macebell Outside Circle,,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Full Body,Bilateral,Ballistics,2025-08-10 01:02:45.779018+00,Macebell
8529,Macebell Inside Circle to Outside Circle,,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Full Body,Bilateral,Ballistics,2025-08-10 01:02:45.779018+00,Macebell
8530,Battle Rope Clap,https://youtu.be/KTcHetEk8Vw?si=xFuh3rDHIThNVEbK,https://youtu.be/s57pXx2t2FM?si=pgWPT_kwUw2FlLcU,Beginner,Shoulders,Lateral Deltoids,Biceps Brachii,Upper Body,Bilateral,Unsorted*,2025-08-10 01:02:45.779018+00,Battle Ropes
8531,Battle Rope Inward Circle,https://youtu.be/WH4rwFZoce8?si=Yt1fEhmIXXEAa1s1,https://youtu.be/lVhChaGkx4I?feature=shared,Beginner,Shoulders,Anterior Deltoids,Biceps Brachii,Upper Body,Bilateral,Unsorted*,2025-08-10 01:02:45.779018+00,Battle Ropes
8532,Battle Rope Outward Circle,https://youtu.be/ta0cdvQmADs?si=B6OcdshuVkMO34iV,,Beginner,Shoulders,Anterior Deltoids,Biceps Brachii,Upper Body,Bilateral,Unsorted*,2025-08-10 01:02:45.779018+00,Battle Ropes
8533,Double Kettlebell Tall Kneeling Shrug,,,Beginner,Trapezius,Upper Trapezius,Levator Scapulae,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
